# SESSION 2026-08-13T20:44:30.7275421-04:00 features=solver_lod|sleep_headroom target=solver_lod
# SETTINGS min_distance_m=500 steady_accel_threshold=0.5 required_steady_s=3 moving_speed_threshold=0.1 low_solver_iterations=2 refresh_interval_s=2 evaluate_interval_s=0.25 experiment_window_s=30
wall_clock,mode,window_s,frames,avg_frame_ms,fps,tracked,moving,solver_downgraded,asleep,stationary,stationary_awake
20:44:30.728,ACTIVE,30.02,1584,18.949,52.773,519,91,438,425,428,3
20:45:04.012,BASELINE,30.00,1081,27.752,36.033,519,89,0,430,430,0
20:45:36.163,ACTIVE,30.02,1008,29.781,33.578,519,64,442,454,455,1
20:46:08.358,BASELINE,30.00,1228,24.432,40.930,519,54,0,463,465,2
20:46:40.523,ACTIVE,30.00,1154,25.998,38.465,519,60,479,457,459,2
20:47:12.724,BASELINE,30.02,1285,23.361,42.807,519,71,0,446,448,2
20:47:45.133,ACTIVE,30.02,990,30.326,32.975,519,71,413,448,448,0
20:48:17.157,BASELINE,30.00,1159,25.888,38.628,519,58,0,455,461,6
20:48:49.203,ACTIVE,30.02,1298,23.130,43.234,519,61,421,458,458,0
20:49:21.214,BASELINE,30.01,1305,22.993,43.492,519,58,0,461,461,0
20:49:55.526,ACTIVE,30.00,1735,17.292,57.830,519,0,444,0,0,0
20:50:27.526,BASELINE,30.00,1800,16.667,60.000,519,0,0,0,0,0
20:50:59.527,ACTIVE,30.00,1800,16.667,60.000,519,0,0,0,0,0
20:51:31.527,BASELINE,30.00,1800,16.667,60.000,519,0,0,0,0,0
20:52:03.527,ACTIVE,30.00,1800,16.667,60.000,519,0,0,0,0,0
20:52:35.528,BASELINE,30.00,1800,16.667,60.000,519,0,0,0,0,0
20:53:07.528,ACTIVE,30.00,1800,16.667,60.000,519,0,0,0,0,0
20:53:39.528,BASELINE,30.00,1800,16.667,60.000,519,0,0,0,0,0
